"X-Angle(бу)","Y-Angle(бу)","Z-Angle(бу)"
-1.588000,5.330000,9.797889
-1.588000,5.330000,9.797889
-1.588000,5.330000,9.797889
-4.960000,-1.902000,12.325347
-4.960000,-1.902000,12.325347
-4.960000,-1.902000,12.325347
-4.960000,-1.902000,12.325347
-4.960000,-1.902000,12.325347
-8.060000,3.734000,13.758333
-8.060000,3.734000,13.758333
-8.060000,3.734000,13.758333
-8.060000,3.734000,13.758333
-8.060000,3.734000,13.758333
4.550000,-0.104000,10.820193
4.550000,-0.104000,10.820193
4.550000,-0.104000,10.820193
4.550000,-0.104000,10.820193
4.550000,-0.104000,10.820193
-2.992000,-3.668000,13.254934
-2.992000,-3.668000,13.254934
-2.992000,-3.668000,13.254934
-2.992000,-3.668000,13.254934
-2.992000,-3.668000,13.254934
6.434000,4.506000,12.448510
6.434000,4.506000,12.448510
6.434000,4.506000,12.448510
6.434000,4.506000,12.448510
6.434000,4.506000,12.448510
4.198000,2.978000,9.669793
4.198000,2.978000,9.669793
4.198000,2.978000,9.669793
4.198000,2.978000,9.669793
4.198000,2.978000,9.669793
5.496000,1.274000,11.280652
5.496000,1.274000,11.280652
5.496000,1.274000,11.280652
5.496000,1.274000,11.280652
5.496000,1.274000,11.280652
3.498000,-2.866000,12.402224
3.498000,-2.866000,12.402224
3.498000,-2.866000,12.402224
3.498000,-2.866000,12.402224
3.498000,-2.866000,12.402224
-5.442000,8.032000,12.952503
-5.442000,8.032000,12.952503
-5.442000,8.032000,12.952503
-5.442000,8.032000,12.952503
-5.442000,8.032000,12.952503
4.606000,0.234000,13.855260
4.606000,0.234000,13.855260
4.606000,0.234000,13.855260
4.606000,0.234000,13.855260
4.606000,0.234000,13.855260
-4.848000,-6.946000,11.584894
-4.848000,-6.946000,11.584894
-4.848000,-6.946000,11.584894
-4.848000,-6.946000,11.584894
-4.848000,-6.946000,11.584894
-2.672000,-4.690000,11.027347
-2.672000,-4.690000,11.027347
-2.672000,-4.690000,11.027347
-2.672000,-4.690000,11.027347
-2.672000,-4.690000,11.027347
-7.838000,4.148000,10.337214
-7.838000,4.148000,10.337214
-7.838000,4.148000,10.337214
-7.838000,4.148000,10.337214
-7.838000,4.148000,10.337214
2.334000,-4.486000,12.259227
2.334000,-4.486000,12.259227
2.334000,-4.486000,12.259227
2.334000,-4.486000,12.259227
2.334000,-4.486000,12.259227
-1.238000,4.416000,10.309955
-1.238000,4.416000,10.309955
-1.238000,4.416000,10.309955
-1.238000,4.416000,10.309955
-1.238000,4.416000,10.309955
4.234000,0.986000,13.733306
4.234000,0.986000,13.733306
4.234000,0.986000,13.733306
4.234000,0.986000,13.733306
4.234000,0.986000,13.733306
0.854000,1.108000,7.632467
0.854000,1.108000,7.632467
0.854000,1.108000,7.632467
0.854000,1.108000,7.632467
0.854000,1.108000,7.632467
0.650000,-0.352000,12.738433
0.650000,-0.352000,12.738433
0.650000,-0.352000,12.738433
0.650000,-0.352000,12.738433
0.650000,-0.352000,12.738433
4.722000,-5.878000,13.485786
4.722000,-5.878000,13.485786
